;food1;food2;amount
0;lemon sabayon with fresh wild berries;beer battered onion rings;0.200006
1;roasted beef tenderloin with fire roasted tomato salsa and potato cheese galette;feta-and-cauliflower frittata;0.200008
2;bacon-wilted greens with warm pecan-crusted goat cheese;tomatoes with smoked almonds and gorgonzola;0.20001
3;16-minute greek feast to go;italian turkey soup;0.200015
4;chocolate bread pudding with walnuts and chocolate chips;spiced roasted turkey;0.200015
5;colcannon (irish potato salad);bacon-wilted greens with warm pecan-crusted goat cheese;0.200016
6;grandmother s tart;baby tomato and fresh herb tabbouleh;0.200018
7;pozole rojo (mexican pork and hominy stew);miss dixie s remoulade;0.200034
8;diane anderson s cabbage with sausage;chicken and bacon florentine;0.200035
9;Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;paneer makhmali;0.200036
10;freak n good ribs;khatte aloo;0.20004
11;roasted peppers and potatoes with bagna cauda;smashed peas and ricotta cheese;0.200042
12;chocolate chip pie iv;geoduck papaya ceviche;0.200046
13;plantain chips;laura s maryland crab cakes;0.200048
14;chicken wings with black-bean sauce;pheasant and cabbage chowder;0.200055
15;moong soup;cabbage and apple salad;0.200055
16;grilled hawaiian chicken and pineapple sandwiches;duck with walnut sherry vinaigrette;0.200056
17;grilled hawaiian chicken and pineapple sandwiches;lotus rice with sausage;0.200058
18;avocado mayonnaise;classic tiramisu with chocolate;0.200061
19;greek-style lemon roasted potatoes;quick chicken fajitas;0.200068
20;gooey butter cake iii;stilton walnut tarts;0.200069
21;bombay chicken wings;broiled steak with horseradish cream;0.20007
22;antipasto di gamberi e avocado con maionese alla senape (prawn and avocado starter with mustard dip);thanksgiving turkey with italian meat stuffing;0.200073
23;moroccan chicken stew;caramelized banana split;0.200077
24;sweet tea brined fried chicken;candied root vegetables;0.200079
25;bombay chicken wings;thanksgiving turkey with italian meat stuffing;0.200081
26;roasted pumpkin soup;jerk chicken and tomato salad;0.200089
27;asparagus soup with lemon crème fraîche;geoduck papaya ceviche;0.20009
28;pfeffernusse;the only pizza you ll ever want again: chicken, sun dried tomato, broccoli, ricotta, mozzarella and basil;0.200092
29;spinach-artichoke ravioli-lasagna;chunky chili cornbread;0.200095
30;turkey shawarma with crunchy vegetables;a nice italian girl s salad;0.200098
31;pollo negra;bouillabaise;0.200101
32;finikia;chicken tagine with olives and apricots;0.200112
33;mutter dhingri;butter;0.200121
