food;price
Pastilha Menta Zero Açúcar Trident Mints Lata 22,5g 50 Unidades;8.99
Pastilha Morango Zero Açúcar Trident Mints Lata 22,5g 50 Unidades;8.99
Sal para Churrasco Himalaia Tradicional BR SPICES 300g;15.79
Goma de Mascar MENTOS PEPPERMINT 35G;11.99
Finn Xilitol Adoçante Líquido 65ml;24.99
Purê de Frutas Manga e Maçã PIC-ME 100g;3.99
Iogurte Líquido VIGOR Protein Sabor Coco 250G     ;6.99
MAGGI Base Culinária Deu Liga Cebola 61g;7.99
Queijo Processado Emmental Président 120g 6 Unidades;13.39
Sorvete Sensação NESTLÉ Pote 1,5 Litros;20.79
Achocolatado em Pó QUALITÁ 800g;7.49
Goma de Mascar MENTOS Pure Mint 92g;14.99
Chocolate ALPINO White Top 90g;5.19
Pasta de Aliche e Salsinha ALICELLA QUALITÁ 150G;16.90
Patê de Manjericão QUALITÁ Pote 150g;16.90
Salgadinho de Trigo Costelinha com Limão Torcida Pacote 70g;3.09
TORC PETI QUEI 70G;1.99
Pimenta do Reino Grãos QUALITÁ 50g;13.49
Sal de Parrilha com Chimichurri QUALITÁ 1 Kg;20.95
Goiabada Cremosa PREDILECTA 320g;9.99
Linguiça de Peito de Frango PRIETO 600g;19.79
Snack de Trigo Assado & Crocante Tomate Provençal Crocantíssimo Gourmet Pacote 100g;5.39
Cápsulas de Café 3 CORAÇÕES Supremo Caixa com 10 Unidades 7,0g;15.79
Goma de Mascar Sabor Fresh Mint MENTOS Pure 3D 8,5g com 5 Unidades;2.09
Pack Biscoito Integral Recheio Peito de Peru Marilan Pit Stop Pacote 105,6g 4 Unidades;3.65
Linguiça com pimenta biquinho Seara Gourmet 500g;20.99
Pistache Torrado e Salgado QUALITÁ 150g;29.79
Creme Crocante OVOMALTINE 260g;18.49
Creme de Cebola VONO Pacote 58g;5.39
Chocolate Jubileu Ruby Framboesa 100g;39.79
Sequilho Laranja QUALITÁ 320g;6.79
Bebida Láctea Fermentada Coco Vigor Todo Dia Bandeja 540g 6 Unidades;3.49
Massa de Pastel de Forno QUALITÁ 300g;3.79
Maionese HELLMANN'S Tradicional Sachê 700g;7.99
Pão de Queijo Tradicional Congelado MASSA LEVE Pacote 1kg;24.79
Pizza de Lombo com Catupiry SEARA 460g;14.99
Cápsulas de Café EXPRESSUS Ásia com 10 Unidades;14.90
Cereal em Barra Sementes e Sal Rosa TAEQ Nuts 50g Caixa com 2 Unidades;5.69
Cereal em Barra Coco e Cranberry TAEQ Nuts 50g Caixa com 2 Unidades;5.69
Hambúrguer de Frango Wessel Caixa 360g 2 Unidades;12.29
Biscoito NESTLÉ Integral Mix de Gergelim Pacote 126g;4.15
Bombom JUBILEU Gold com Avelã 80g;26.49
Polpetone Seara Gourmet 320g;18.29
Cereja Congelada QUALITÁ 400g;19.99
Sobrepaleta com Lombo Salgado PAINEIRA 400g;18.99
Gelatina em Pó Morango Qualitá Caixa 20g ;0.99
Gelatina em Pó Framboesa Qualitá Caixa 20g ;0.99
Massa de Tapioca com Beterraba OKKER Pacote 500g;14.90
Iogurte Parcialmente Desnatado Vitamina de Frutas Nestlé Garrafa 900g;8.59
Grissini Orgânico Natural BIO PHORM 100g;6.99
Grissini Orgânico Integal BIO PHORM 100g;7.39
Manjericão CHINATOWN Pacote 20g;5.39
Biscoito ADRIA Tortinha Due Cheese Cake + Geleia de Goiaba Pacote 160g;2.45
